IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
198.41.204.56,4,4,0.00,171.07,0.00
198.41.214.70,4,4,0.00,172.09,0.00
172.64.165.68,4,4,0.00,187.30,0.00
172.65.131.148,4,4,0.00,190.65,0.00
172.64.163.107,4,4,0.00,191.81,0.00
173.245.58.148,4,4,0.00,191.84,0.00
104.19.25.177,4,4,0.00,192.27,0.00
104.27.18.103,4,4,0.00,193.20,0.00
104.20.224.7,4,4,0.00,193.68,0.00
104.25.26.88,4,4,0.00,195.14,0.00
172.67.93.235,4,4,0.00,195.23,0.00
141.101.120.115,4,4,0.00,196.04,0.00
172.65.1.148,4,4,0.00,196.06,0.00
172.67.106.22,4,4,0.00,196.24,0.00
172.65.139.57,4,4,0.00,196.33,0.00
104.27.50.51,4,4,0.00,196.33,0.00
198.41.195.231,4,4,0.00,196.80,0.00
198.41.194.81,4,4,0.00,197.35,0.00
104.25.5.237,4,4,0.00,197.52,0.00
172.65.142.0,4,4,0.00,198.74,0.00
104.24.222.171,4,4,0.00,198.91,0.00
104.25.8.116,4,4,0.00,199.03,0.00
172.66.193.42,4,4,0.00,199.20,0.00
104.20.231.154,4,4,0.00,199.43,0.00
198.41.205.201,4,4,0.00,200.43,0.00
198.41.222.246,4,4,0.00,200.49,0.00
108.162.193.118,4,4,0.00,200.83,0.00
172.67.97.28,4,4,0.00,200.96,0.00
103.21.244.233,4,4,0.00,201.07,0.00
198.41.207.138,4,4,0.00,201.13,0.00
141.101.121.12,4,4,0.00,201.34,0.00
172.67.87.220,4,4,0.00,201.37,0.00
173.245.59.126,4,4,0.00,201.50,0.00
198.41.201.64,4,4,0.00,201.51,0.00
172.64.171.109,4,4,0.00,202.05,0.00
104.20.228.36,4,4,0.00,202.15,0.00
198.41.217.236,4,4,0.00,202.46,0.00
198.41.199.244,4,4,0.00,202.76,0.00
198.41.196.133,4,4,0.00,202.76,0.00
104.21.196.82,4,4,0.00,202.82,0.00
104.25.232.99,4,4,0.00,202.97,0.00
198.41.200.76,4,4,0.00,203.08,0.00
188.114.98.243,4,4,0.00,203.79,0.00
198.41.197.75,4,4,0.00,203.85,0.00
104.16.231.228,4,4,0.00,203.85,0.00
141.101.113.193,4,4,0.00,204.05,0.00
198.41.193.50,4,4,0.00,204.11,0.00
141.101.90.103,4,4,0.00,204.16,0.00
104.22.41.146,4,4,0.00,204.20,0.00
172.64.164.35,4,4,0.00,204.26,0.00
104.20.230.74,4,4,0.00,204.62,0.00
198.41.216.245,4,4,0.00,204.62,0.00
198.41.202.134,4,4,0.00,204.67,0.00
198.41.223.152,4,4,0.00,204.74,0.00
198.41.192.143,4,4,0.00,204.81,0.00
198.41.211.246,4,4,0.00,204.86,0.00
198.41.203.48,4,4,0.00,204.89,0.00
172.64.92.57,4,4,0.00,205.74,0.00
198.41.198.234,4,4,0.00,205.87,0.00
108.162.192.164,4,4,0.00,206.04,0.00
104.21.200.120,4,4,0.00,206.26,0.00
104.20.234.100,4,4,0.00,206.30,0.00
108.162.194.23,4,4,0.00,206.62,0.00
198.41.218.127,4,4,0.00,208.46,0.00
198.41.206.110,4,4,0.00,208.68,0.00
104.21.96.76,4,4,0.00,208.96,0.00
188.114.99.64,4,4,0.00,209.16,0.00
173.245.49.46,4,4,0.00,209.66,0.00
108.162.195.127,4,4,0.00,209.94,0.00
104.20.233.97,4,4,0.00,210.03,0.00
104.16.230.46,4,4,0.00,211.15,0.00
104.27.11.212,4,4,0.00,211.35,0.00
172.67.182.65,4,4,0.00,211.93,0.00
104.25.176.9,4,4,0.00,212.78,0.00
104.21.9.92,4,4,0.00,212.89,0.00
104.21.209.241,4,4,0.00,213.48,0.00
104.16.227.190,4,4,0.00,214.08,0.00
104.16.232.42,4,4,0.00,214.33,0.00
104.27.3.85,4,4,0.00,215.51,0.00
104.18.28.25,4,4,0.00,215.56,0.00
172.65.238.119,4,4,0.00,216.10,0.00
104.27.6.39,4,4,0.00,217.17,0.00
104.25.63.20,4,4,0.00,217.64,0.00
104.17.33.126,4,4,0.00,217.90,0.00
104.27.4.238,4,4,0.00,218.52,0.00
172.67.218.157,4,4,0.00,219.16,0.00
198.41.219.245,4,4,0.00,219.49,0.00
104.17.127.152,4,4,0.00,219.59,0.00
104.17.11.134,4,4,0.00,221.09,0.00
104.20.251.105,4,4,0.00,223.95,0.00
104.16.224.79,4,4,0.00,224.69,0.00
104.21.27.37,4,4,0.00,224.84,0.00
104.18.244.80,4,4,0.00,224.88,0.00
188.114.97.84,4,4,0.00,224.91,0.00
104.27.5.72,4,4,0.00,225.70,0.00
172.67.69.185,4,4,0.00,226.58,0.00
172.65.205.22,4,4,0.00,227.30,0.00
172.65.204.250,4,4,0.00,227.54,0.00
104.16.228.89,4,4,0.00,227.80,0.00
104.16.218.15,4,4,0.00,229.17,0.00
198.41.208.124,4,4,0.00,230.54,0.00
198.41.221.126,4,4,0.00,230.73,0.00
198.41.212.236,4,4,0.00,231.99,0.00
198.41.220.33,4,4,0.00,232.32,0.00
104.22.15.43,4,4,0.00,232.95,0.00
198.41.209.90,4,4,0.00,233.20,0.00
188.114.96.80,4,4,0.00,233.34,0.00
104.16.219.222,4,4,0.00,233.95,0.00
104.22.0.105,4,4,0.00,236.03,0.00
172.64.144.118,4,4,0.00,240.20,0.00
104.18.84.81,4,4,0.00,241.06,0.00
104.25.131.217,4,4,0.00,243.32,0.00
104.25.120.79,4,4,0.00,255.75,0.00
172.67.134.199,4,4,0.00,266.17,0.00
104.18.171.74,4,3,0.25,110.37,0.00
104.18.167.250,4,3,0.25,125.11,0.00
104.18.76.197,4,3,0.25,152.15,0.00
104.18.74.164,4,3,0.25,159.14,0.00
104.18.72.34,4,3,0.25,161.22,0.00
104.18.73.197,4,3,0.25,164.87,0.00
104.18.173.36,4,3,0.25,179.67,0.00
104.18.169.97,4,3,0.25,180.63,0.00
104.18.158.249,4,3,0.25,185.41,0.00
172.67.197.226,4,3,0.25,189.46,0.00
172.67.196.249,4,3,0.25,189.97,0.00
104.19.26.182,4,3,0.25,190.23,0.00
104.19.27.239,4,3,0.25,191.32,0.00
172.67.60.222,4,3,0.25,191.63,0.00
172.65.24.45,4,3,0.25,191.84,0.00
172.64.85.182,4,3,0.25,191.96,0.00
172.67.193.191,4,3,0.25,192.41,0.00
172.67.119.186,4,3,0.25,192.78,0.00
104.25.209.147,4,3,0.25,192.85,0.00
104.19.28.2,4,3,0.25,192.99,0.00
104.24.129.202,4,3,0.25,193.21,0.00
172.65.58.104,4,3,0.25,193.44,0.00
104.20.229.37,4,3,0.25,193.45,0.00
172.67.206.3,4,3,0.25,193.87,0.00
172.67.21.101,4,3,0.25,193.93,0.00
104.20.232.3,4,3,0.25,193.98,0.00
104.24.137.58,4,3,0.25,194.52,0.00
104.24.69.235,4,3,0.25,194.62,0.00
172.67.113.2,4,3,0.25,194.88,0.00
172.64.140.120,4,3,0.25,194.89,0.00
172.67.45.110,4,3,0.25,194.91,0.00
172.64.203.84,4,3,0.25,195.01,0.00
172.67.202.59,4,3,0.25,195.02,0.00
172.64.201.190,4,3,0.25,195.12,0.00
104.25.2.51,4,3,0.25,195.12,0.00
104.24.4.109,4,3,0.25,195.21,0.00
104.27.2.138,4,3,0.25,195.38,0.00
172.67.183.64,4,3,0.25,195.59,0.00
104.25.43.49,4,3,0.25,195.96,0.00
104.24.9.64,4,3,0.25,196.06,0.00
172.65.136.76,4,3,0.25,196.10,0.00
172.67.247.92,4,3,0.25,196.13,0.00
172.67.29.71,4,3,0.25,196.34,0.00
104.25.117.138,4,3,0.25,196.39,0.00
172.67.112.137,4,3,0.25,196.60,0.00
104.25.46.168,4,3,0.25,196.60,0.00
172.64.202.228,4,3,0.25,196.65,0.00
172.64.148.87,4,3,0.25,196.88,0.00
141.101.123.147,4,3,0.25,197.09,0.00
172.67.246.43,4,3,0.25,197.25,0.00
104.25.226.34,4,3,0.25,197.53,0.00
172.67.115.60,4,3,0.25,197.78,0.00
104.21.102.112,4,3,0.25,197.78,0.00
172.67.111.129,4,3,0.25,198.13,0.00
172.65.152.3,4,3,0.25,198.37,0.00
104.20.235.153,4,3,0.25,198.40,0.00
104.24.215.212,4,3,0.25,198.52,0.00
104.20.219.245,4,3,0.25,198.68,0.00
104.21.100.182,4,3,0.25,198.87,0.00
104.25.128.23,4,3,0.25,198.94,0.00
104.25.217.25,4,3,0.25,198.94,0.00
104.25.106.131,4,3,0.25,199.45,0.00
172.67.253.215,4,3,0.25,199.50,0.00
172.67.190.150,4,3,0.25,199.59,0.00
104.20.221.217,4,3,0.25,200.05,0.00
172.65.60.86,4,3,0.25,200.53,0.00
172.65.138.192,4,3,0.25,200.79,0.00
172.65.26.24,4,3,0.25,200.94,0.00
172.67.107.170,4,3,0.25,200.99,0.00
104.24.76.50,4,3,0.25,201.01,0.00
104.20.218.244,4,3,0.25,201.21,0.00
104.22.67.83,4,3,0.25,201.31,0.00
172.67.233.196,4,3,0.25,201.31,0.00
172.65.57.132,4,3,0.25,201.31,0.00
104.25.206.209,4,3,0.25,201.42,0.00
104.19.29.14,4,3,0.25,201.45,0.00
172.66.157.6,4,3,0.25,201.75,0.00
104.25.66.125,4,3,0.25,201.98,0.00
104.24.74.24,4,3,0.25,202.26,0.00
